Week,Item 1,Item 2
Week 0,67,20
Week 1,65,20
Week 2,64,23
Week 3,62,20
Week 4,64,21
Week 5,65,19
Week 6,69,20
Week 7,65,19
Week 8,65,20
Week 9,68,20
Week 10,64,18
Week 11,61,18
Week 12,63,19
Week 13,66,19
Week 14,61,18
Week 15,61,20
Week 16,64,19
Week 17,64,22
Week 18,64,21
Week 19,64,20
Week 20,61,21
Week 21,62,21
Week 22,68,21
Week 23,66,22
Week 24,62,22
Week 25,67,22
Week 26,69,26
Week 27,71,28
Week 28,73,32
Week 29,77,40
Week 30,74,26
Week 31,73,24
Week 32,67,22
Week 33,70,22
Week 34,71,22
Week 35,90,20
Week 36,84,21
Week 37,88,22
Week 38,78,20
Week 39,81,21
Week 40,78,20
Week 41,75,20
Week 42,72,19
Week 43,78,24
Week 44,81,25
Week 45,80,27
Week 46,100,34
Week 47,89,28
Week 48,79,26
Week 49,80,26
Week 50,96,30
Week 51,86,30
Week 52,78,28
Week 53,79,27
Week 54,80,25
Week 55,79,26
Week 56,74,24
Week 57,77,24
Week 58,69,23
Week 59,68,25
Week 60,66,24
